requirement,strategy,test,correct,bug_001,bug_002,bug_003,bug_004,bug_005,classification
req_003,direct,test_age_bracket_classification[30-adulto],pass,pass,pass,pass,pass,pass,weak
req_003,direct,test_age_bracket_classification[45-adulto],pass,pass,pass,pass,pass,pass,weak
req_003,direct,test_age_bracket_classification[5-crianca],pass,pass,pass,pass,pass,pass,weak
req_003,direct,test_age_bracket_classification[59-adulto],pass,pass,pass,pass,pass,pass,weak
req_003,direct,test_age_bracket_classification[60-idoso],pass,pass,fail,pass,fail,pass,useful
req_003,direct,test_age_bracket_classification[70-idoso],pass,pass,pass,pass,fail,pass,useful
req_003,two_step,test_age_bracket_adult_boundary_lower,pass,pass,pass,pass,pass,fail,useful
req_003,two_step,test_age_bracket_adult_boundary_upper,pass,pass,pass,pass,pass,pass,weak
req_003,two_step,test_age_bracket_adult_equivalence,pass,pass,pass,pass,pass,pass,weak
req_003,two_step,test_age_bracket_child_boundary_lower,pass,pass,pass,pass,pass,pass,weak
req_003,two_step,test_age_bracket_child_boundary_upper,pass,pass,pass,pass,pass,pass,weak
req_003,two_step,test_age_bracket_child_equivalence,pass,pass,pass,pass,pass,pass,weak
req_003,two_step,test_age_bracket_elderly_boundary_lower,pass,pass,fail,pass,fail,pass,useful
req_003,two_step,test_age_bracket_elderly_equivalence,pass,pass,pass,pass,fail,pass,useful
req_003,two_step,test_age_bracket_elderly_extreme,pass,pass,pass,pass,fail,pass,useful
req_003,two_step,test_age_bracket_invalid_negative_age_boundary_lower,pass,pass,pass,fail,pass,pass,useful
req_003,two_step,test_age_bracket_invalid_negative_age_equivalence,pass,pass,pass,fail,pass,pass,useful
req_003,two_step,test_age_bracket_invalid_negative_age_extreme,pass,pass,pass,fail,pass,pass,useful
req_003,two_step,test_age_bracket_teen_boundary_lower,pass,fail,pass,pass,pass,pass,useful
req_003,two_step,test_age_bracket_teen_boundary_upper,pass,pass,pass,pass,pass,pass,weak
req_003,two_step,test_age_bracket_teen_equivalence,pass,pass,pass,pass,pass,pass,weak
